"","word","n"
"1","the",1431088
"2","to",819962
"3","a",727115
"4","and",722866
"5","of",589601
"6","in",508120
"7","i",493036
"8","for",340802
"9","is",317106
"10","that",313831
"11","it",269332
"12","you",267409
"13","on",238754
"14","with",222473
"15","was",202205
"16","my",179218
"17","at",173684
"18","be",169644
"19","have",165244
"20","this",162136
"21","but",152431
"22","as",146245
"23","are",143613
"24","he",133110
"25","not",121990
"26","so",120712
"27","we",119538
"28","me",117484
"29","from",110807
"30","by",108741
"31","all",107586
"32","will",101354
"33","they",94576
"34","or",94542
"35","said",92570
"36","his",90413
"37","just",90098
"38","out",88458
"39","an",85854
"40","up",85816
"41","one",85262
"42","your",84028
"43","if",83679
"44","about",82333
"45","like",81941
"46","do",81404
"47","what",80760
"48","who",76837
"49","has",72776
"50","get",72329
"51","had",69197
"52","when",68001
"53","can",66750
"54","their",66575
"55","time",66072
"56","there",65855
"57","more",65525
"58","new",63824
"59","would",62221
"60","now",61671
"61","been",58480
"62","our",57040
"63","she",56834
"64","day",55094
"65","no",54629
"66","her",54285
"67","some",54020
"68","were",51583
"69","know",49823
"70","good",49781
"71","i'm",49586
"72","which",49170
"73","it's",48316
"74","love",48253
"75","how",48169
"76","them",47562
"77","people",45037
"78","back",43867
"79","year",42298
"80","first",41123
"81","two",41068
"82","also",41028
"83","going",40599
"84","today",40541
"85","because",39676
"86","great",39614
"87","other",39449
"88","go",39288
"89","than",39270
"90","after",39265
"91","last",39211
"92","make",38720
"93","him",38673
"94","see",38142
"95","then",37718
"96","think",37360
"97","only",37295
"98","well",36668
"99","don't",36489
"100","into",35870
"101","much",35583
"102","could",35088
"103","too",35059
"104","its",34494
"105","over",33494
"106","got",33245
"107","did",33137
"108","us",32959
"109","thanks",32886
"110","want",32645
"111","way",32376
"112","really",32261
"113","even",31678
"114","work",31599
"115","best",31303
"116","off",30667
"117","before",30380
"118","very",30200
"119","say",30147
"120","right",30113
"121","am",29657
"122","here",29475
"123","still",29156
"124","little",28886
"125","where",28350
"126","those",27994
"127","life",27794
"128","come",27686
"129","u",27449
"130","should",27043
"131","any",26932
"132","years",26757
"133","being",26696
"134","week",26680
"135","most",26643
"136","night",26118
"137","rt",25551
"138","made",25537
"139","take",25240
"140","may",24694
"141","these",24519
"142","things",24373
"143","next",24354
"144","need",24289
"145","game",24237
"146","while",24052
"147","another",22857
"148","something",22853
"149","many",22731
"150","through",22642
"151","why",22498
"152","school",22484
"153","old",21768
"154","never",21738
"155","down",21734
"156","big",21608
"157","same",21387
"158","state",21278
"159","around",21141
"160","lol",21133
"161","that's",21125
"162","home",20687
"163","world",20318
"164","long",20220
"165","three",19776
"166","follow",19604
"167","sure",19472
"168","use",19421
"169","team",19334
"170","better",19019
"171","always",18954
"172","both",18529
"173","lot",18496
"174","ever",18494
"175","help",18481
"176","happy",18365
"177","man",18206
"178","every",18090
"179","show",18044
"180","such",18016
"181","feel",18015
"182","since",17831
"183","find",17815
"184","each",17647
"185","look",17626
"186","can't",17363
"187","it’s",17126
"188","does",17117
"189","put",16932
"190","thing",16909
"191","free",16859
"192","city",16725
"193","keep",16713
"194","house",16412
"195","again",16096
"196","season",15999
"197","looking",15952
"198","place",15923
"199","tonight",15782
"200","during",15745
"201","let",15600
"202","you're",15535
"203","oh",15393
"204","yet",15058
"205","play",14950
"206","yes",14917
"207","few",14769
"208","working",14709
"209","friends",14635
"210","please",14428
"211","days",14372
"212","told",14367
"213","part",14280
"214","might",14201
"215","give",14162
"216","used",14132
"217","left",13924
"218","without",13829
"219","says",13784
"220","he's",13734
"221","wait",13555
"222","enough",13370
"223","against",13344
"224","end",13329
"225","second",13206
"226","i've",13191
"227","point",13143
"228","bad",13131
"229","though",13034
"230","until",13001
"231","food",12907
"232","i'll",12890
"233","once",12867
"234","pretty",12824
"235","family",12819
"236","don’t",12769
"237","high",12752
"238","getting",12736
"239","morning",12702
"240","hope",12650
"241","own",12650
"242","try",12520
"243","nice",12497
"244","making",12443
"245","fun",12421
"246","watch",12403
"247","thought",12392
"248","million",12386
"249","away",12382
"250","everyone",12326
"251","must",12304
"252","call",12264
"253","thank",12254
"254","done",12244
"255","someone",12073
"256","between",11953
"257","makes",11947
"258","book",11933
"259","full",11860
"260","already",11859
"261","center",11820
"262","top",11812
"263","times",11784
"264","post",11685
"265","trying",11662
"266","set",11634
"267","having",11626
"268","went",11558
"269","found",11527
"270","hard",11517
"271","four",11481
"272","kids",11471
"273","business",11469
"274","story",11465
"275","didn't",11268
"276","job",11255
"277","doing",11241
"278","start",11224
"279","including",11108
"280","called",11084
"281","nothing",11061
"282","real",11054
"283","police",11040
"284","live",11029
"285","believe",10939
"286","win",10822
"287","run",10746
"288","haha",10655
"289","sometimes",10653
"290","support",10598
"291","month",10548
"292","children",10527
"293","far",10521
"294","head",10520
"295","later",10488
"296","twitter",10474
"297","hit",10470
"298","county",10458
"299","tell",10409
"300","change",10382
"301","half",10370
"302","girl",10306
"303","course",10294
"304","friend",10284
"305","public",10281
"306","u.s",10276
"307","friday",10268
"308","fact",10209
"309","percent",10195
"310","money",10175
"311","bit",10132
"312","small",10097
"313","games",10065
"314","we're",10021
"315","coming",10002
"316","amazing",9933
"317","early",9895
"318","buy",9859
"319","minutes",9819
"320","person",9816
"321","s",9779
"322","five",9722
"323","almost",9717
"324","came",9660
"325","stop",9634
"326","national",9619
"327","less",9612
"328","mind",9602
"329","blog",9533
"330","kind",9528
"331","music",9514
"332","name",9472
"333","mean",9450
"334","white",9446
"335","least",9441
"336","soon",9433
"337","anything",9397
"338","read",9396
"339","guys",9382
"340","actually",9347
"341","myself",9257
"342","ready",9254
"343","under",9235
"344","yeah",9234
"345","check",9206
"346","took",9206
"347","weekend",9089
"348","im",9087
"349","south",9052
"350","office",9049
"351","maybe",8990
"352","government",8985
"353","awesome",8942
"354","wanted",8890
"355","started",8866
"356","past",8797
"357","i’m",8790
"358","ago",8784
"359","miss",8759
"360","open",8746
"361","talk",8702
"362","line",8686
"363","add",8674
"364","together",8655
"365","playing",8624
"366","young",8622
"367","along",8604
"368","able",8561
"369","often",8551
"370","heart",8540
"371","community",8519
"372","market",8497
"373","ur",8463
"374","needs",8458
"375","boy",8427
"376","there's",8424
"377","gets",8383
"378","film",8365
"379","whole",8324
"380","d",8323
"381","using",8321
"382","god",8255
"383","watching",8230
"384","system",8215
"385","list",8201
"386","hours",8199
"387","forward",8178
"388","party",8177
"389","p.m",8138
"390","country",8097
"391","w",8084
"392","problem",8075
"393","university",8059
"394","water",7989
"395","st",7973
"396","care",7968
"397","sleep",7947
"398","tomorrow",7914
"399","true",7912
"400","finally",7906
"401","health",7890
"402","group",7887
"403","saturday",7887
"404","face",7881
"405","project",7867
"406","following",7860
"407","pick",7859
"408","black",7858
"409","become",7852
"410","looks",7833
"411","asked",7822
"412","service",7822
"413","different",7817
"414","news",7790
"415","excited",7770
"416","anyone",7767
"417","law",7764
"418","saw",7739
"419","birthday",7738
"420","hands",7691
"421","number",7673
"422","tweet",7673
"423","hand",7634
"424","class",7626
"425","others",7608
"426","question",7604
"427","everything",7602
"428","light",7602
"429","months",7601
"430","probably",7592
"431","feeling",7553
"432","guy",7551
"433","welcome",7522
"434","stuff",7520
"435","taking",7511
"436","lost",7481
"437","however",7474
"438","cool",7466
"439","star",7422
"440","men",7416
"441","side",7364
"442","president",7353
"443","movie",7321
"444","saying",7297
"445","gonna",7273
"446","else",7268
"447","several",7262
"448","area",7256
"449","weeks",7226
"450","brown",7215
"451","move",7201
"452","late",7192
"453","wish",7180
"454","hear",7153
"455","isn't",7134
"456","women",7126
"457","among",7104
"458","according",7055
"459","april",7042
"460","case",7035
"461","air",7034
"462","six",7014
"463","meet",6981
"464","doesn't",6973
"465","pay",6970
"466","plan",6962
"467","beer",6936
"468","important",6931
"469","court",6923
"470","sweet",6907
"471","given",6892
"472","ask",6880
"473","room",6875
"474","gave",6860
"475","bring",6852
"476","yesterday",6852
"477","i'd",6843
"478","american",6841
"479","behind",6834
"480","energy",6834
"481","car",6830
"482","outside",6808
"483","large",6794
"484","especially",6788
"485","close",6779
"486","within",6778
"487","heard",6775
"488","wrong",6774
"489","phone",6744
"490","stay",6744
"491","fans",6740
"492","knew",6732
"493","short",6693
"494","break",6685
"495","living",6685
"496","third",6672
"497","needed",6667
"498","seems",6646
"499","funny",6645
"500","favorite",6642
"501","remember",6637
"502","company",6615
"503","deal",6613
"504","field",6610
"505","goes",6592
"506","sense",6580
"507","death",6567
"508","order",6560
"509","paper",6557
"510","talking",6551
"511","video",6544
"512","sunday",6542
"513","baby",6514
"514","front",6495
"515","series",6448
"516","department",6441
"517","bill",6440
"518","summer",6437
"519","beautiful",6431
"520","thursday",6431
"521","store",6414
"522","special",6390
"523","idea",6387
"524","site",6377
"525","felt",6353
"526","taken",6352
"527","experience",6342
"528","won't",6302
"529","perhaps",6274
"530","means",6273
"531","members",6266
"532","local",6248
"533","york",6244
"534","cleveland",6226
"535","missed",6222
"536","monday",6210
"537","hey",6198
"538","hour",6190
"539","either",6179
"540","west",6175
"541","words",6175
"542","leave",6156
"543","child",6136
"544","matter",6117
"545","they're",6114
"546","spent",6096
"547","rather",6069
"548","known",6068
"549","success",6064
"550","seen",6063
"551","director",6052
"552","comes",6021
"553","rock",6018
"554","based",6000
"555","red",5955
"556","power",5947
"557","himself",5945
"558","crazy",5944
"559","clear",5938
"560","eyes",5937
"561","definitely",5924
"562","themselves",5901
"563","body",5899
"564","hold",5889
"565","future",5881
"566","worked",5871
"567","whether",5869
"568","began",5867
"569","visit",5860
"570","strong",5839
"571","cause",5831
"572","district",5831
"573","running",5821
"574","event",5811
"575","tv",5793
"576","meeting",5785
"577","page",5775
"578","won",5773
"579","spring",5747
"580","sorry",5721
"581","blue",5717
"582","college",5704
"583","board",5694
"584","design",5673
"585","art",5650
"586","march",5644
"587","former",5636
"588","tax",5632
"589","across",5624
"590","decided",5620
